Star-Structured Project,,,
,,,
Node Ranking for Star-Structured Project Under Greedy Strategy,,,
Author,Label,Rank,
ShyamSundar Rajaram,AI,16,
David S. Reiner,DB,1,
Shachar Lovett,T,1,
Qingzhao Tan,DM,18,
,,,
,,,
Node Ranking for Star-Structured Project Under Influence Greedy Strategy,,,
Author,Label,Rank,
Shachar Lovett,T,1,
Anand Ranganathan,DB,3,
Dorian Suc,AI,1,
Chunsong Wang,DM,1,
,,,
,,,
Node Ranking for Star-Structured Project Under Influence Greedy Strategy,,,
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,160.4236,51.935,108.4886
Inf Greedy,87.5843,26.935,60.6493
,,,
Fully-connected Structured Project,,,
,,,
Node Ranking for Fully-connected Structured Project Under Greedy Strategy,,,
Author,Label,Rank,
ShyamSundar Rajaram,AI,16,
David S. Reiner,DB,1,
Shachar Lovett,T,1,
Qingzhao Tan,DM,18,
,,,
,,,
Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy,,,
Author,Label,Rank,
Shachar Lovett,T,1,
Anand Ranganathan,DB,3,
Dorian Suc,AI,1,
Chunsong Wang,DM,1,
,,,
,,,
Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy,,,
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,160.4236,51.935,108.4886
Inf Greedy,87.5843,26.935,60.6493
,,,
Chain-Structured Project,,,
,,,
Node Ranking for Chain-Structured Project Under Greedy Strategy,,,
Author,Label,Rank,
ShyamSundar Rajaram,AI,16,
David S. Reiner,DB,1,
Shachar Lovett,T,1,
Qingzhao Tan,DM,18,
,,,
,,,
Node Ranking for Chain-Structured Project Under Influence Greedy Strategy,,,
Author,Label,Rank,
Shachar Lovett,T,1,
Anand Ranganathan,DB,3,
Dorian Suc,AI,1,
Chunsong Wang,DM,1,
,,,
,,,
Node Ranking for Chain-Structured Project Under Influence Greedy Strategy,,,
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,160.4236,51.935,108.4886
Inf Greedy,87.5843,26.935,60.6493
