Star-Structured Project

Node Ranking for Star-Structured Project Under Greedy Strategy
Author,Label,Rank
Malik Magdon-Ismail,AI,12
Ohad Greenshpan,DB,1
Liangliang Cao,DM,1
Stefan Langerman,T,7


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Jan Johannsen,T,1
Ohad Greenshpan,DB,1
Hsuan-Tien Lin,AI,1
Liangliang Cao,DM,1


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,70.9197,20.442,50.4777
Inf Greedy,21.9526,2.639,19.3136

Fully-connected Structured Project

Node Ranking for Fully-connected Structured Project Under Greedy Strategy
Author,Label,Rank
Malik Magdon-Ismail,AI,12
Ohad Greenshpan,DB,1
Liangliang Cao,DM,1
Stefan Langerman,T,7


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Jan Johannsen,T,1
Ohad Greenshpan,DB,1
Hsuan-Tien Lin,AI,1
Liangliang Cao,DM,1


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,70.9197,20.442,50.4777
Inf Greedy,21.9526,2.639,19.3136

Chain-Structured Project

Node Ranking for Chain-Structured Project Under Greedy Strategy
Author,Label,Rank
Philipp Woelfel,T,9
Ohad Greenshpan,DB,1
Hsuan-Tien Lin,AI,1
Arpita Ghosh,DM,10


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Jan Johannsen,T,1
Ohad Greenshpan,DB,1
Hsuan-Tien Lin,AI,1
Liangliang Cao,DM,1


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,54.4915,14.385,40.1065
Inf Greedy,21.1986,2.262,18.9366

