Star-Structured Project

Node Ranking for Star-Structured Project Under Greedy Strategy
Author,Label,Rank
Shuguo Han,DB,5
David Lo,DM,33
Bakhadyr Khoussainov,T,1
Michael Connor,AI,34


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Yuxin Mao,DB,7
Kangmiao Liu,DM,1
Bakhadyr Khoussainov,T,1
Sander M. Bohte,AI,1


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,406.6683,130.47,276.1983
Inf Greedy,283.33,50.0,233.32999999999998

Fully-connected Structured Project

Node Ranking for Fully-connected Structured Project Under Greedy Strategy
Author,Label,Rank
Shuguo Han,DB,5
David Lo,DM,33
Bakhadyr Khoussainov,T,1
Michael Connor,AI,34


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Yuxin Mao,DB,7
Kangmiao Liu,DM,1
Bakhadyr Khoussainov,T,1
Sander M. Bohte,AI,1


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,406.6683,130.47,276.1983
Inf Greedy,283.33,50.0,233.32999999999998

Chain-Structured Project

Node Ranking for Chain-Structured Project Under Greedy Strategy
Author,Label,Rank
Shuguo Han,DB,5
David Lo,DM,33
Bakhadyr Khoussainov,T,1
Michael Connor,AI,34


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Yuxin Mao,DB,7
Kangmiao Liu,DM,1
Bakhadyr Khoussainov,T,1
Sander M. Bohte,AI,1


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,406.6683,130.47,276.1983
Inf Greedy,283.33,50.0,233.32999999999998

