Star-Structured Project

Node Ranking for Star-Structured Project Under Greedy Strategy
Author,Label,Rank
Daniel R. Simon,T,1
Jeff G. Schneider,AI,4
Saara Hyvönen,DM,1
Yan Zhao,DB,1


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Marco Ramoni,AI,1
Saara Hyvönen,DM,1
Daniel R. Simon,T,1
Yan Zhao,DB,1


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,139.54,14.29,125.25
Inf Greedy,113.33,0.0,113.33

Fully-connected Structured Project

Node Ranking for Fully-connected Structured Project Under Greedy Strategy
Author,Label,Rank
Daniel R. Simon,T,1
Jeff G. Schneider,AI,4
Saara Hyvönen,DM,1
Yan Zhao,DB,1


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Marco Ramoni,AI,1
Saara Hyvönen,DM,1
Daniel R. Simon,T,1
Yan Zhao,DB,1


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,139.54,14.29,125.25
Inf Greedy,113.33,0.0,113.33

Chain-Structured Project

Node Ranking for Chain-Structured Project Under Greedy Strategy
Author,Label,Rank
Daniel R. Simon,T,1
Jeff G. Schneider,AI,4
Saara Hyvönen,DM,1
Yan Zhao,DB,1


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Marco Ramoni,AI,1
Saara Hyvönen,DM,1
Daniel R. Simon,T,1
Yan Zhao,DB,1


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,139.54,14.29,125.25
Inf Greedy,113.33,0.0,113.33

