Star-Structured Project

Node Ranking for Star-Structured Project Under Greedy Strategy
Author,Label,Rank
Chengfei Liu,DB,1
Luca de Alfaro,T,3
Weizheng Gao,DM,8
Kazumi Saito,AI,9


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Chengfei Liu,DB,1
Ravindran Kannan,T,1
Hector Geffner,AI,1
Jiahui Liu,DM,2


Node Ranking for Star-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,162.8338,65.708,97.1258
Inf Greedy,96.579,28.996,67.583

Fully-connected Structured Project

Node Ranking for Fully-connected Structured Project Under Greedy Strategy
Author,Label,Rank
Chengfei Liu,DB,1
Luca de Alfaro,T,3
Weizheng Gao,DM,8
Kazumi Saito,AI,9


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Chengfei Liu,DB,1
Ravindran Kannan,T,1
Hector Geffner,AI,1
Jiahui Liu,DM,2


Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,162.8338,65.708,97.1258
Inf Greedy,96.579,28.996,67.583

Chain-Structured Project

Node Ranking for Chain-Structured Project Under Greedy Strategy
Author,Label,Rank
Chengfei Liu,DB,1
Luca de Alfaro,T,3
Weizheng Gao,DM,8
Kazumi Saito,AI,9


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Author,Label,Rank
Chengfei Liu,DB,1
Ravindran Kannan,T,1
Hector Geffner,AI,1
Jiahui Liu,DM,2


Node Ranking for Chain-Structured Project Under Influence Greedy Strategy
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,162.8338,65.708,97.1258
Inf Greedy,96.579,28.996,67.583

