Star-Structured Project,,,
,,,
Node Ranking for Star-Structured Project Under Greedy Strategy,,,
Author,Label,Rank,
Lars Arge,T,2,
Matthias Schonlau,DM,2,
Michael V. Vyugin,AI,9,
Rasa Bliujute,DB,9,
,,,
,,,
Node Ranking for Star-Structured Project Under Influence Greedy Strategy,,,
Author,Label,Rank,
Or Meir,T,1,
Greg Hamerly,AI,1,
Torben Bach Pedersen,DB,1,
Matthias Schonlau,DM,2,
,,,
,,,
Node Ranking for Star-Structured Project Under Influence Greedy Strategy,,,
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,36.96,11.38,25.58
Inf Greedy,9.078,1.61,7.468
,,,
Fully-connected Structured Project,,,
,,,
Node Ranking for Fully-connected Structured Project Under Greedy Strategy,,,
Author,Label,Rank,
Lars Arge,T,2,
Matthias Schonlau,DM,2,
Michael V. Vyugin,AI,9,
Rasa Bliujute,DB,9,
,,,
,,,
Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy,,,
Author,Label,Rank,
Or Meir,T,1,
Greg Hamerly,AI,1,
Torben Bach Pedersen,DB,1,
Matthias Schonlau,DM,2,
,,,
,,,
Node Ranking for Fully-connected Structured Project Under Influence Greedy Strategy,,,
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,36.96,11.38,25.58
Inf Greedy,9.078,1.61,7.468
,,,
Chain-Structured Project,,,
,,,
Node Ranking for Chain-Structured Project Under Greedy Strategy,,,
Author,Label,Rank,
Lars Arge,T,2,
Matthias Schonlau,DM,2,
Michael V. Vyugin,AI,9,
Rasa Bliujute,DB,9,
,,,
,,,
Node Ranking for Chain-Structured Project Under Influence Greedy Strategy,,,
Author,Label,Rank,
Or Meir,T,1,
Greg Hamerly,AI,1,
Torben Bach Pedersen,DB,1,
Matthias Schonlau,DM,2,
,,,
,,,
Node Ranking for Chain-Structured Project Under Influence Greedy Strategy,,,
Algorithm,Objective Function,Leaders Efficiency,Team efficiency
Greedy,36.73,11.15,25.58
Inf Greedy,8.618,1.38,7.238
